release_date,region,issue,epiweek,lag,num_ili,num_patients,num_providers,num_age_0,num_age_1,num_age_2,num_age_3,num_age_4,num_age_5,wili,ili,region_name
2024-10-04,NM,202439,202313,78,765,21788,37,,,,,,,3.51111,3.51111,
2024-10-04,NV,202439,202313,78,180,19332,32,,,,,,,0.931099,0.931099,
2024-10-04,NY_MINUS_JFK,202439,202313,78,1249,57740,121,,,,,,,2.16315,2.16315,
2024-10-04,OH,202439,202313,78,896,40006,80,,,,,,,2.23966,2.23966,
2024-10-04,OK,202439,202313,78,387,17850,35,,,,,,,2.16807,2.16807,
2024-10-04,OR,202439,202313,78,571,38807,87,,,,,,,1.47138,1.47138,
2024-10-04,PA,202439,202313,78,866,66185,101,,,,,,,1.30845,1.30845,
2024-10-04,RI,202439,202313,78,143,12942,24,,,,,,,1.10493,1.10493,
2024-10-04,SC,202439,202313,78,866,35931,38,,,,,,,2.41018,2.41018,
2024-10-04,SD,202439,202313,78,75,8608,30,,,,,,,0.871283,0.871283,
2024-10-04,TN,202439,202313,78,706,35551,99,,,,,,,1.98588,1.98588,
2024-10-04,TX,202439,202313,78,1424,58438,45,,,,,,,2.43677,2.43677,
2024-10-04,UT,202439,202313,78,446,17253,48,,,,,,,2.58506,2.58506,
2024-10-04,VA,202439,202313,78,2920,109161,173,,,,,,,2.67495,2.67495,
2024-10-04,VT,202439,202313,78,37,5655,14,,,,,,,0.654288,0.654288,
2024-10-04,WA,202439,202313,78,717,47294,72,,,,,,,1.51605,1.51605,
2024-10-04,WI,202439,202313,78,270,20817,34,,,,,,,1.29702,1.29702,
2024-10-04,WV,202439,202313,78,290,12940,46,,,,,,,2.24111,2.24111,
2024-10-04,WY,202439,202313,78,24,2206,13,,,,,,,1.08794,1.08794,
2024-10-04,AK,202439,202314,77,66,3583,12,,,,,,,1.84203,1.84203,
2024-10-04,AL,202439,202314,77,706,46718,106,,,,,,,1.51119,1.51119,
2024-10-04,AR,202439,202314,77,162,14051,45,,,,,,,1.15294,1.15294,
2024-10-04,AZ,202439,202314,77,271,21754,43,,,,,,,1.24575,1.24575,
2024-10-04,CA,202439,202314,77,8525,267558,207,,,,,,,3.18623,3.18623,
2024-10-04,CEN1,202439,202314,77,2279,155325,258,457.0,891.0,,488.0,225.0,218.0,1.43731,1.46725,NEW_ENGLAND
2024-10-04,CEN2,202439,202314,77,7127,233609,366,1862.0,2614.0,,1742.0,508.0,401.0,2.47938,3.05082,MID_ATLANTIC
